"Dataset","Model","Mean_residual","Median_residual","SD_residual","P25_residual","P75_residual","Underestimated_percent","Overestimated_percent"
"Newborn","Linear Regression - One Hot",-0.0405266105522629,-0.164230518007582,4.91939287012427,-0.819597025222316,0.478681181281861,41.8042092393677,58.1957907606323
"Newborn","Random Forest Regression - Target",-0.0253391462616659,-0.387689606920353,3.62359317447225,-0.490419094426841,0.526146242971877,33.045148895293,66.954851104707
"Non-newborn","Linear Regression - One Hot",0.00221530443761636,-0.715104263313079,6.0099613395887,-2.28258455746202,0.837317152943509,37.0468091568278,62.9531908431722
"Non-newborn","Random Forest Regression - Target",-0.0031464411066139,-0.619704259188642,5.6778661838019,-1.93760147477016,0.695731106959854,35.0195512698835,64.9804487301165
